Ticker,Price,vs_50_SMA%,ATR%,Vol_vs_50d_Low%,Vol_Low_Flag,VCP_Status,VCP_Score,Dist_to_Pivot%,Pullback_Status,Pullback_Score,AD,EPS_Rating,Ind_Rank,Next_Earnings,RS_Rating,RS_Trend,RS_Div,Corr_Div,Brk_Order,Exh_Score,Exh_Status,Dist_Score,Dist_Status,Viol,V_Sc,Link
TSEM,260.31,6.28,9.72,153.1,No,No VCP,0,,No Pullback,0,C,50,7/36,2026-08-03,95,Up,No,Weak,N/A,32,Normal,0,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=TSEM
PLSE,43.32,44.37,6.44,85.4,No,No VCP,0,,No Pullback,0,B,,11/36,2026-05-04,94,Up,Partial,Weak,1/1,44,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=PLSE
NBIS,259.2,16.85,10.07,475.2,No,No VCP,0,,No Pullback,0,D,93,10/36,2026-08-06,94,Up,No,Weak,1/1,37,Late Stage,0,Normal,Multiple,63,https://www.tradingview.com/chart/?symbol=NBIS
FRD,44.95,33.22,6.18,476.6,No,No VCP,48,2.03,No Pullback,0,B,53,9/36,2026-08-06,94,Up,Partial,Weak,1/1,43,Late Stage,25,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=FRD
ARWR,87.25,8.46,4.7,29.0,No,VCP Tight,70,0.66,No Pullback,0,B,10,3/36,2026-08-06,93,Up,No,Weak,4/5,15,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=ARWR
CLMT,47.19,22.11,4.37,182.5,No,VCP Tight,85,0.44,No Pullback,0,C,,14/36,2026-08-07,93,Up,Partial,Weak,1/1,43,Late Stage,25,Normal,Warning,38,https://www.tradingview.com/chart/?symbol=CLMT
CAKE,117.29,39.71,3.08,149.8,No,No VCP,0,,No Pullback,0,A,32,13/36,2026-07-28,93,Up,Partial,Weak,1/2,53,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=CAKE
LQDA,78.79,1.74,6.94,607.4,No,VCP Forming,53,5.03,No Pullback,0,C,92,12/36,2026-08-12,93,Up,No,Weak,1/2,15,Normal,55,Weakening,Warning,35,https://www.tradingview.com/chart/?symbol=LQDA
SILC,46.59,8.57,9.21,314.1,No,No VCP,0,,No Pullback,0,C,,6/36,2026-07-30,93,Up,No,Weak,N/A,15,Normal,0,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=SILC
VSAT,87.23,19.45,6.37,21.1,No,No VCP,0,,No Pullback,0,C,,6/36,2026-05-25,92,Up,No,Moderate,3/4,15,Normal,0,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=VSAT
PKOH,49.38,30.4,4.51,463.9,No,No VCP,0,,No Pullback,0,B,35,17/36,2026-08-05,92,Up,Partial,Weak,1/1,54,Late Stage,55,Weakening,Clean,0,https://www.tradingview.com/chart/?symbol=PKOH
IRDM,49.65,3.6,3.39,0.0,Yes,No VCP,0,,No Pullback,0,C,13,16/36,2026-04-23,92,Up,No,Weak,N/A,0,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=IRDM
ALNT,114.28,23.3,5.27,65.1,No,No VCP,0,,No Pullback,0,C,58,15/36,2026-08-05,92,Up,Partial,Moderate,2/2,43,Late Stage,0,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=ALNT
FORM,128.77,5.55,7.62,71.4,No,No VCP,0,,No Pullback,0,C,62,1/36,2026-07-29,91,Down,No,Moderate,N/A,25,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=FORM
ATRO,87.89,19.29,4.68,627.6,No,No VCP,0,,No Pullback,0,C,57,18/36,2026-07-30,91,Up,No,Moderate,1/1,35,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=ATRO
ANIK,22.03,36.93,5.08,232.3,No,VCP Forming,52,3.72,No Pullback,0,B,80,12/36,2026-07-29,91,Up,Partial,Weak,2/2,55,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=ANIK
TSAT,61.4,37.17,5.69,88.3,No,No VCP,0,,No Pullback,0,B,,6/36,2026-08-06,91,Up,Partial,Weak,2/4,45,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=TSAT
PANW,387.01,20.09,3.98,14.1,No,No VCP,0,,No Pullback,0,C,7,2/36,2026-08-18,91,Up,Partial,Weak,N/A,8,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=PANW
AYA,28.04,38.52,5.15,115.1,No,VCP Forming,59,0.64,No Pullback,0,B,82,19/36,2026-08-13,91,Up,Partial,Weak,1/1,41,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=AYA
AXGN,49.67,15.57,4.53,28.5,No,No VCP,0,,No Pullback,0,A,2,20/36,2026-04-28,90,Up,Partial,Weak,N/A,49,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=AXGN
TER,402.74,5.18,7.5,53.2,No,No VCP,0,,No Pullback,0,C,70,1/36,2026-04-28,89,Up,No,Moderate,N/A,27,Normal,0,Normal,Clean,7,https://www.tradingview.com/chart/?symbol=TER
CTRN,74.02,23.03,4.18,96.6,No,No VCP,0,,No Pullback,0,A,73,21/36,2026-08-25,89,Up,Partial,Moderate,1/1,37,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=CTRN
PLPC,468.03,25.6,5.93,271.3,No,No VCP,0,,No Pullback,0,C,47,22/36,2026-07-29,89,Up,Partial,Moderate,1/1,41,Late Stage,25,Normal,Minor,20,https://www.tradingview.com/chart/?symbol=PLPC
DGII,85.24,21.72,3.99,163.9,No,No VCP,0,,No Pullback,0,B,42,6/36,2026-08-05,89,Up,Partial,Weak,4/4,49,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=DGII
FEIM,78.31,16.23,8.12,87.6,No,No VCP,47,2.11,No Pullback,0,A,5,6/36,2026-03-11,89,Up,No,Weak,1/4,20,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=FEIM
MRNA,63.67,5.83,5.35,67.9,No,No VCP,0,,No Pullback,0,C,,3/36,2026-07-31,88,Up,No,Moderate,1/5,8,Normal,0,Normal,Minor,23,https://www.tradingview.com/chart/?symbol=MRNA
NTAP,202.05,19.7,3.93,18.5,No,VCP Forming,58,0.11,No Pullback,0,B,30,2/36,2026-05-28,88,Up,Partial,Weak,3/3,16,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=NTAP
CBRL,58.74,18.25,4.29,66.5,No,No VCP,0,5.18,No Pullback,0,C,63,13/36,2026-06-09,88,Up,Partial,Weak,N/A,8,Normal,0,Normal,Minor,30,https://www.tradingview.com/chart/?symbol=CBRL
BJRI,69.7,16.32,4.0,113.9,No,No VCP,0,,No Pullback,0,C,18,13/36,2026-07-30,88,Up,Partial,Weak,2/2,8,Normal,0,Normal,Warning,45,https://www.tradingview.com/chart/?symbol=BJRI
CRWD,221.78,17.74,4.4,0.3,Yes,No VCP,0,,No Pullback,0,C,85,2/36,2026-06-03,88,Up,Partial,Weak,N/A,15,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=CRWD
CRDO,268.16,12.79,8.0,108.5,No,No VCP,0,,No Pullback,0,C,72,7/36,2026-06-01,87,Up,No,Weak,N/A,25,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=CRDO
FTNT,160.84,4.23,4.26,31.9,No,No VCP,0,,Pullback to MA,78,C,40,2/36,2026-08-05,87,Up,No,Weak,N/A,16,Normal,0,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=FTNT
DCTH,17.11,35.1,4.46,168.3,No,No VCP,0,,No Pullback,0,A,22,20/36,2026-08-06,86,Up,Partial,Weak,1/1,51,Late Stage,25,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=DCTH
ECPG,97.5,9.6,4.25,143.4,No,No VCP,0,,No Pullback,0,D,27,23/36,2026-08-05,86,Up,Partial,Weak,1/1,14,Normal,30,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=ECPG
CLDX,44.87,25.28,3.69,237.0,No,No VCP,0,,No Pullback,0,A,,3/36,2026-08-06,86,Up,Partial,Weak,2/5,29,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=CLDX
NVEC,122.22,16.18,7.78,15.0,No,No VCP,45,8.68,No Pullback,0,B,45,7/36,2026-07-22,86,Up,No,Weak,1/1,45,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=NVEC
TWIN,24.58,11.2,4.4,154.9,No,VCP Tight,64,0.08,No Pullback,0,C,97,17/36,2026-05-06,86,Up,No,Weak,N/A,0,Normal,0,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=TWIN
FLXS,73.81,5.56,3.59,97.5,No,No VCP,0,,No Pullback,0,D,87,24/36,2026-04-20,86,Up,Partial,Weak,N/A,0,Normal,0,Normal,Warning,57,https://www.tradingview.com/chart/?symbol=FLXS
MITK,18.57,4.66,5.37,77.4,No,No VCP,0,,No Pullback,0,C,17,8/36,2026-08-06,85,Up,No,Weak,N/A,31,Normal,0,Normal,Minor,23,https://www.tradingview.com/chart/?symbol=MITK
NSIT,154.67,28.2,3.95,91.0,No,No VCP,0,0.85,No Pullback,0,B,48,25/36,2026-08-06,85,Up,Partial,Weak,1/2,47,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=NSIT
AEVA,25.16,16.98,8.76,60.1,No,No VCP,0,,No Pullback,0,C,,2/36,2026-07-30,84,Up,No,Weak,2/3,41,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=AEVA
KALU,189.49,8.74,4.8,69.0,No,No VCP,0,,No Pullback,0,C,68,27/36,2026-07-22,84,Up,No,Weak,N/A,23,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=KALU
CHEF,111.07,14.95,3.97,47.8,No,No VCP,0,5.34,No Pullback,0,C,43,26/36,2026-07-29,84,Up,Partial,Moderate,1/1,42,Late Stage,0,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=CHEF
RELL,20.57,14.41,7.75,75.0,No,No VCP,35,10.89,No Pullback,0,D,60,15/36,2026-04-08,83,Up,No,Weak,1/2,36,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=RELL
ILMN,192.91,5.78,4.08,42.2,No,No VCP,0,,No Pullback,0,C,20,28/36,2026-07-30,83,Up,Partial,Weak,1/1,3,Normal,25,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=ILMN
PDEX,67.41,9.51,5.14,294.4,No,No VCP,0,,No Pullback,0,B,28,11/36,2026-07-08,83,Up,No,Moderate,N/A,32,Normal,0,Normal,Clean,8,https://www.tradingview.com/chart/?symbol=PDEX
SENEB,189.7,15.14,1.35,,No,Already Broken Out,0,-4.53,No Pullback,0,C,38,31/36,N/A,82,Up,No,Strong,1/1,8,Normal,0,Normal,Minor,22,https://www.tradingview.com/chart/?symbol=SENEB
IESC,766.33,11.5,6.96,103.7,No,No VCP,0,,No Pullback,0,A,52,30/36,2026-07-31,82,Up,No,Moderate,1/1,45,Late Stage,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=IESC
RCKY,47.47,12.76,4.14,159.0,No,VCP Forming,54,1.76,No Pullback,0,C,67,29/36,2026-10-27,82,Up,Partial,Weak,2/2,21,Normal,25,Normal,Warning,35,https://www.tradingview.com/chart/?symbol=RCKY
DIOD,107.04,7.72,6.17,62.5,No,No VCP,0,,No Pullback,0,C,23,7/36,2026-08-06,82,Down,No,Weak,N/A,32,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=DIOD
GSAT,83.22,2.88,1.23,56.2,No,No VCP,0,,No Pullback,0,A,3,16/36,2026-08-06,82,Down,No,Moderate,1/1,12,Normal,12,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=GSAT
ASML,1810.07,2.34,4.23,36.4,No,No VCP,0,,No Pullback,0,C,33,1/36,2026-07-15,81,Up,No,Moderate,N/A,8,Normal,0,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=ASML
AVT,97.31,9.45,3.8,175.3,No,VCP Forming,54,2.69,No Pullback,0,B,98,25/36,2026-04-29,81,Up,Partial,Weak,2/2,28,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=AVT
SHIP,16.08,4.81,5.15,93.4,No,VCP Forming,50,3.26,No Pullback,0,C,95,33/36,2026-05-26,81,Down,Partial,Strong,1/1,15,Normal,0,Normal,Warning,50,https://www.tradingview.com/chart/?symbol=SHIP
JAZZ,248.95,2.73,2.95,27.5,No,No VCP,0,,No Pullback,0,E,88,3/36,2026-08-04,81,Up,Partial,Moderate,5/5,12,Normal,31,Normal,Warning,45,https://www.tradingview.com/chart/?symbol=JAZZ
CROX,130.61,1.62,4.5,31.8,No,No VCP,0,,No Pullback,0,C,83,29/36,2026-10-29,81,Up,No,Weak,1/2,16,Normal,0,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=CROX
HQI,16.64,27.29,5.49,683.4,No,No VCP,33,12.42,No Pullback,0,C,25,32/36,2026-11-05,81,Up,Partial,Weak,1/1,58,Late Stage,25,Normal,Multiple,90,https://www.tradingview.com/chart/?symbol=HQI
ZD,54.94,8.6,3.93,113.0,No,No VCP,0,,Pulling Back,46,C,,34/36,2026-11-05,81,Up,Partial,Weak,N/A,16,Normal,0,Normal,Minor,23,https://www.tradingview.com/chart/?symbol=ZD
SENEA,188.37,13.11,3.8,142.8,No,No VCP,0,,No Pullback,0,C,37,31/36,2026-08-06,81,Up,No,Moderate,N/A,0,Normal,0,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=SENEA
NKTR,76.03,13.4,3.98,64.4,No,No VCP,0,,No Pullback,0,A,,3/36,2026-08-13,81,Down,No,Weak,3/5,16,Normal,0,Normal,Clean,0,https://www.tradingview.com/chart/?symbol=NKTR
ACHC,31.7,8.18,5.73,13.3,No,No VCP,0,,No Pullback,0,B,12,35/36,2026-07-28,80,Up,No,Weak,1/1,36,Late Stage,0,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=ACHC
AMRX,17.66,4.38,3.8,158.0,No,No VCP,0,1.12,No Pullback,0,D,55,12/36,2026-08-04,80,Up,Partial,Weak,N/A,0,Normal,30,Normal,Warning,45,https://www.tradingview.com/chart/?symbol=AMRX
CARE,32.34,0.71,3.31,49.2,No,No VCP,39,7.4,No Pullback,0,D,65,36/36,2026-04-23,80,Up,Partial,Weak,1/1,16,Normal,0,Normal,Multiple,75,https://www.tradingview.com/chart/?symbol=CARE
KELYA,15.44,13.77,4.45,55.2,No,No VCP,0,,No Pullback,0,C,15,32/36,2026-08-06,80,Up,Partial,Weak,N/A,28,Normal,0,Normal,Minor,15,https://www.tradingview.com/chart/?symbol=KELYA
LGND,293.27,2.17,3.95,147.7,No,No VCP,0,,No Pullback,0,C,75,3/36,2026-08-06,80,Up,No,Weak,N/A,0,Normal,0,Normal,Minor,23,https://www.tradingview.com/chart/?symbol=LGND
